,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
205,0.16435637474060058,0.052756338280904216,0.0026499271392822266,0.0015319630398535854,0.001,"(50, 50)",230,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 230}",0.8808688021061868,0.8360912343470482,0.8007602862254025,0.9496336996336996,0.8759157509157509,0.8684935607768463,0.04977443845480194,207,0.9796945701357467,0.9621165212496481,0.9560371517027865,0.9614566719829877,0.9460393407761828,0.9610688511694704,0.010948694961281626
206,0.16248741149902343,0.02623558444423846,0.0017899513244628907,0.00021725894034481155,0.001,"(50, 50)",109,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 109}",0.8343571741992101,0.8841681574239713,0.8260286225402504,0.9569597069597071,0.8997252747252749,0.8799480402913787,0.0475493591957653,162,0.9248868778280542,0.9385871094849423,0.890233605403884,0.9263689526847422,0.9274322169059012,0.9215017524615048,0.016370250855267398
207,0.23569364547729493,0.08835758828221321,0.0019392967224121094,0.0003185065556863353,0.001,"(50, 50)",244,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 244}",0.8154892496709083,0.886180679785331,0.9342576028622542,0.9496336996336996,0.7852564102564104,0.8740680910329074,0.0643976541515189,198,0.959898190045249,0.9850971010413735,0.9863917815930199,0.9922913343965977,0.9330143540669856,0.9713385522286451,0.022156455095198774
208,0.1884239673614502,0.07424601827370388,0.0018890380859375,0.0007599332621759685,0.001,"(50, 50)",123,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 123}",0.8503729706011408,0.8689624329159211,0.8452593917710197,0.9258241758241758,0.9093406593406596,0.8797307447857878,0.03211166327098,166,0.9649886877828056,0.9634112018012947,0.9231353785533353,0.9686337054758106,0.9593301435406699,0.9558998234307833,0.016652062673162982
209,0.05908985137939453,0.009628843953215862,0.0017924308776855469,0.001314118871439232,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.682755594559017,0.8477191413237926,0.8168604651162793,0.8489010989010989,0.7358058608058607,0.7861646706791702,0.0663132223155189,344,0.7125848416289592,0.7908528004503236,0.8117928511117366,0.7985114300903775,0.8051568314726211,0.7837797509508035,0.03626976389529548
210,0.1369274616241455,0.024524973815228654,0.001836872100830078,0.000805444579138723,0.001,"(50,)",136,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 136}",0.8343571741992101,0.8902057245080501,0.915026833631485,0.913919413919414,0.8617216117216119,0.8829232872502879,0.03121810881021383,138,0.9347850678733032,0.9639600337742754,0.9444694624261187,0.9516214779372674,0.9351408825093035,0.9459953849040538,0.010956289530903919
211,0.07897796630859374,0.014864840154099982,0.0009218692779541015,1.8687880311415383e-05,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 15}",0.8198771390960947,0.8228980322003577,0.8047853309481215,0.8923992673992676,0.8663003663003663,0.8410461823208781,0.0327070363722659,271,0.8249717194570136,0.9223895299746693,0.7846608499859273,0.8492822966507179,0.8902179691653377,0.8543044730467333,0.04829331444886512
212,0.18819794654846192,0.07053803716323027,0.0017884731292724609,0.00042269045853417236,0.001,"(50,)",149,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 149}",0.843791136463361,0.8325134168157424,0.8917710196779965,0.9111721611721612,0.8736263736263739,0.8704262296169835,0.02922929493145119,202,0.9780825791855204,0.9650576977202364,0.9580776808330989,0.9526847421584264,0.9763423710792131,0.9660490141952991,0.009938697231670717
213,0.13336377143859862,0.07042181271519006,0.0012120723724365235,0.0002672151102982129,0.001,"(50,)",28,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 28}",0.8997367266344888,0.9094364937388192,0.8204382826475851,0.9235347985347986,0.887820512820513,0.8881439425759887,0.03585023599954665,115,0.9412047511312219,0.926625386996904,0.8449338587109484,0.8981924508240299,0.905103668261563,0.9032120231849333,0.032914288277377406
214,0.16853680610656738,0.035353522744282696,0.0018310070037841797,0.0005504921204024997,0.001,"(50,)",163,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 163}",0.9346204475647214,0.8593470483005368,0.9691413237924866,0.8850732600732601,0.9070512820512822,0.9111596313813449,0.03823099777188564,23,0.9852941176470588,0.9858429496200394,0.9869406135660005,0.9898989898989897,0.9864433811802232,0.9868840103824622,0.001606177195733893
