,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
210,0.048226785659790036,0.0035003361973758285,0.001666259765625,0.0002914174756000347,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.7123738481790257,0.758720930232558,0.7350178890876566,0.8063186813186813,0.7087912087912088,0.7441211116686426,0.035751517952016185,92,0.7522341628959276,0.7491697157331834,0.7465803546298901,0.7288676236044658,0.7498670919723551,0.7453437897671644,0.008432892247279179
211,0.05619525909423828,0.015643336212839566,0.0011268138885498046,0.0002665662761664554,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.6208863536638877,0.7783989266547406,0.6621198568872986,0.5173992673992674,0.6771978021978021,0.6513639217939905,0.08448118316700035,270,0.6830882352941179,0.6155924570785252,0.6887700534759358,0.6273258904837852,0.7533227006911218,0.6736198674046971,0.049359968417092885
212,0.04846205711364746,0.004294196886050578,0.001347494125366211,6.387578581855643e-05,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.7022817025010969,0.6630143112701249,0.6974508050089444,0.7385531135531135,0.7797619047619049,0.7160017747009043,0.03970995071504798,174,0.7162613122171946,0.7597523219814241,0.7352800450323671,0.7155768208399789,0.7017543859649122,0.7257249772071753,0.020081308676124298
213,0.1132972240447998,0.06522199421029051,0.001519775390625,0.00017026669795643765,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.6935059236507239,0.6585420393559925,0.7137745974955279,0.6625457875457876,0.6025641025641025,0.66638603131159,0.037710366652838,258,0.6729072398190046,0.7075569940895018,0.7421896988460455,0.6959064327485381,0.6629452418926104,0.69630112147914,0.027901614226752934
214,0.05392222404479981,0.017769781357138203,0.0014150142669677734,0.0002030895863629999,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.6673979815708644,0.5234794275491947,0.6276833631484792,0.5238095238095238,0.46382783882783873,0.5617480663185529,0.07491602135004465,337,0.6440328054298643,0.5552350126653531,0.6212777934140162,0.5539606592238172,0.5730994152046784,0.5895211371875458,0.03657804278495375
215,0.046801280975341794,0.02551268335921704,0.0013359546661376952,0.0002803677844825644,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.6114523913997367,0.5375670840787117,0.49105545617173507,0.6707875457875458,0.4798534798534798,0.5581831799755772,0.07276206748355962,345,0.710294117647059,0.5249929636926541,0.5141289051505769,0.7131844763423713,0.5196703880914408,0.5964541701848204,0.09419702808759824
216,0.09093761444091797,0.028057088198342277,0.001710367202758789,0.00022229918180474855,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.7290478279947346,0.7222719141323792,0.7359123434704831,0.728937728937729,0.6533882783882783,0.7140395372329349,0.03047313396025389,184,0.76993778280543,0.7101041373487194,0.7084576414297776,0.723551302498671,0.7604997341839448,0.7345101196533086,0.02578782133930471
217,0.08488340377807617,0.023286061947446222,0.001407957077026367,7.63315763651481e-05,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.7029398859148749,0.7086314847942754,0.6024150268336312,0.7225274725274726,0.6364468864468864,0.6746313025233519,0.046725996233058016,253,0.7063348416289593,0.72395159020546,0.6472417675204053,0.7480063795853271,0.702020202020202,0.7055109561920708,0.033328907850523906
218,0.0871666431427002,0.04053899246172076,0.0018367290496826172,0.0006059136090012783,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.6303203159280386,0.6970035778175312,0.5194543828264756,0.7802197802197804,0.570054945054945,0.6392406767217226,0.09193134033081668,281,0.6033936651583711,0.7430903461863213,0.4884886011820996,0.762360446570973,0.6597554492291335,0.6514177016653797,0.09963321163327482
219,0.06544561386108398,0.01080656475009321,0.0015778064727783204,0.0002991166237005138,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",0.6513821851689338,0.6024150268336312,0.7254025044722721,0.6868131868131868,0.7394688644688646,0.6808984558455512,0.04995178276453467,241,0.710294117647059,0.6956374894455388,0.7668167745567126,0.7456140350877194,0.7493354598617756,0.7335395753197611,0.026380272751579992
220,0.12186508178710938,0.03423346950862453,0.001701498031616211,0.0003250211965745973,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",0.6158402808249231,0.6949910554561716,0.7546958855098391,0.7184065934065934,0.6913919413919414,0.6948565160802235,0.04576625047230108,220,0.7760463800904979,0.803405572755418,0.7673656065296931,0.7817650186071239,0.7703349282296652,0.7797835012424796,0.01280136234320151
221,0.07647175788879394,0.009999128891570659,0.001593303680419922,0.000500233233772428,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",0.6956998683633172,0.7359123434704831,0.6813506261180677,0.7916666666666669,0.6959706959706958,0.7199685265014829,0.04003481405106821,168,0.7539027149321267,0.7459893048128342,0.7675204052913029,0.7900053163211058,0.7280701754385966,0.7570975833591932,0.020821842151161823
